iter	Passed	Remaining
0	1	145
1	2	136
2	3	129
3	4	118
4	6	117
5	7	117
6	8	115
7	9	112
8	10	108
9	11	105
10	12	103
11	13	101
12	14	99
13	16	98
14	17	98
15	18	96
16	19	96
17	20	94
18	21	92
19	22	90
20	23	88
21	24	87
22	25	85
23	26	83
24	27	81
25	27	79
26	29	78
27	30	77
28	30	75
29	31	74
30	33	73
31	33	72
32	34	70
33	35	69
34	36	68
35	37	66
36	38	65
37	39	64
38	40	63
39	41	62
40	42	60
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	68	29
70	69	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	75	22
77	76	21
78	77	20
79	78	19
80	79	18
81	80	17
82	81	16
83	82	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	87	9
90	88	8
91	89	7
92	90	6
93	91	5
94	92	4
95	93	3
96	94	2
97	95	1
98	96	0
99	97	0
